VIN	Make	Model	Color	Year	MSRP	Miles Since Last Oil Change	Number of miles	Weight
IZ5TD7894SSLT78	Ford	Focus	Red	2007	14999.97	452.67	155673.69	2621
9JHLHFF443WKFGH	Tesla	Model S P85D	Black	2015	112769.87	-1	5357.42	4936
QFTYUSF903F7EJ2	Mitsubishi	Lancer Evolution	Red	2008	35000	2569.34	98861.51	3517
532FASGBF209VJL	BMW	M3	Blue	2012	62000	3628.62	17042.74	3704
12QWERTD35VE6GD	Porsche	911 Targa	Black	2016	108600	1234.7	2358.83	3395
EJ2052LOVESUBIE	Subaru	Impreza WRX	Blue	2006	22000	5400	124557.6	3050
QWRE345KLFG567H	Volvo	S40	Blue	2007	24000	4298.5	88950.6	3234
MITSUFSW434563C	Subaru	Impreza WRX STI	Black	2004	34000	8412.65	112638.5	3263
45DGTUGHS25690L	Ford	Fusion	White	2014	21970	2342.52	6482	3431
IJLH56HF9DFVC89	Volvo	240	Gold	1985	5000	1758.27	389412.64	2901
